,open,percent300Avg,growth5,growth10,growth20,growth40,growth80,growth160,growth300,num,x3,x4,x5,slope5,slope10,slope20,slope40,slope80,slope160,movAvgDiff20,movAvgDiff40,movAvgDiff80,movAvgDiff160,var20,var40,var80,var160,max5D,max10D,max25D,max50,max100,min5D,min10D,min25D,min50,min100,sp_slope5,sp_slope10,sp_slope20,sp_slope40,sp_slope80,sp_slope160,sp_movAvgDiff20,sp_movAvgDiff40,sp_movAvgDiff80,sp_movAvgDiff160,sp_var20,sp_var40,sp_var80,sp_var160,dow_slope5,dow_slope10,dow_slope20,dow_slope40,dow_slope80,dow_slope160,dow_movAvgDiff20,dow_movAvgDiff40,dow_movAvgDiff80,dow_movAvgDiff160,dow_var20,dow_var40,dow_var80,dow_var160,5DayActual,10DayActual,50DayActual,k,300MovAvg,max50D,min50D
2012-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4814,-1.39701818182,1.11431503759,0.194359498124,-0.693261171179,0.819586493338,1.00288861675,1.01114539659,1.01109894866,0.995974922023,239.025946316,330.868306667,856.996422532,1050.40024669,-5.1018,-16.6445454545,6.34148759398,1.052619606,-5.579443687,6.3611021882,0.999688911009,1.00504064751,1.00405858016,0.990929800829,17828.9310621,20765.2931353,69584.3343488,71641.4772931,,,,,,,
2012-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0742,-1.80256969697,1.08270714286,0.28675,-0.701883627813,0.81135749425,1.00902482196,1.01761694959,1.01884176965,1.00319609751,228.792056842,330.665536859,816.87064606,1049.98625981,17.483,-19.947,5.82008909774,1.84819798311,-5.63933447902,6.2737372517,1.00437575579,1.00975949822,1.0098482055,0.996285435581,17373.4548724,20072.3023846,66218.2186729,71646.1739406,,,,,,,
2012-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6016,-1.83451515152,1.05936315789,0.375355253283,-0.709259949308,0.803014992895,1.01439312139,1.02354642836,1.02617761525,1.01003257386,224.768297632,340.487281474,778.609230317,1050.75573811,39.323,-19.8618484848,5.42576503759,2.61060933396,-5.69080613133,6.1856133609,1.01200425384,1.01774565287,1.01905653827,1.00504422783,17638.4042169,20217.4143846,63000.7999681,71660.0077392,,,,,,,
2012-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1818,-1.46832121212,1.04469586466,0.460328447467,-0.715327093589,0.794566382628,1.01523917135,1.02498041177,1.02899873413,1.01248951729,218.062501053,351.708371731,751.944059984,1052.15883395,53.3466,-16.2187939394,5.17001503759,3.33853395872,-5.73328739012,6.09680387979,1.01325396829,1.01938463773,1.02194076505,1.00759275882,17948.3701958,20494.3444558,60169.7188985,71707.5448251,,,,,,,
2012-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1888,1.02246666667,1.00577932331,0.683198170732,-0.725419949895,0.768729889656,1.00267460363,1.01148757924,1.01920577526,1.00174540169,214.411098948,357.702074295,648.986163988,1053.0762033,38.5148,6.95713939394,4.8594056391,5.22082209193,-5.80384438584,5.82760132473,1.0022981687,1.00742969034,1.01333427391,0.998006509156,18187.1122885,20079.0954408,49209.2483294,71800.0137952,,,,,,,
2012-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1962,1.70284848485,0.984160902256,0.743549788931,-0.726388449367,0.759930953815,0.994532545329,1.00204877171,1.0107503363,0.993054009932,214.716099737,330.993549679,613.077951124,1053.0762033,13.352,13.5492666667,4.78887406015,5.71473597561,-5.8107266526,5.73681501212,0.995090035571,0.99917162004,1.00594889869,0.990328633697,18076.8538408,18714.7940746,45363.6074618,71895.5005949,,,,,,,
2012-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.037,2.0352,0.94179962406,0.794393105066,-0.726275637307,0.751010453533,0.986855688347,0.992850268854,1.00214050428,0.984124525743,218.533267369,324.368638397,573.905928465,1054.11966217,-14.351,17.1569939394,4.55846428571,6.12019795966,-5.81000884025,5.64529625736,0.9882730702,0.991135895982,0.99837032933,0.98237504669,17933.0817187,18884.4437485,41364.6954918,72192.8060327,,,,,,,
2012-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2222,2.03757575758,0.88407593985,0.837560999062,-0.725243695792,0.741971366954,0.98777616204,0.992551432462,1.00229297822,0.984082122178,227.127073685,317.728043526,559.812976567,1057.06251432,-40.3602,18.218630303,4.25524849624,6.4567521576,-5.80218270921,5.5531689354,0.99400621758,0.996014947384,1.00369357683,0.987373007562,17433.6576537,18790.4692,39367.3788021,72337.0727344,,,,,,,
2012-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.148,1.83528484848,0.831642481203,0.874791252345,-0.723027159517,0.732849072168,1.00418790028,1.00820339756,1.01876805134,1.00016339385,220.445743158,311.432603526,552.997010064,1057.04332537,-44.918,17.7917636364,4.06156052632,6.74489659944,-5.78470451242,5.46076984364,1.01033794821,1.01190740461,1.02029539357,1.0036008686,17426.8433398,19230.8070654,38485.2938094,72327.3850905,,,,,,,
2012-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6796,0.406266666667,0.67059962406,0.956626993433,-0.708984654829,0.705279965831,1.02212148064,1.0262402328,1.03786839113,1.01906814371,265.063605,346.716501282,579.910350491,1061.24841028,30.3388,9.33308484848,3.8059056391,7.3874413227,-5.67258263449,5.18486267002,1.02311653298,1.0255294507,1.03480019028,1.01806996125,23076.741104,22898.7264174,40452.4394886,72576.5700468,,,,,,,
