Date, Open, High, Low, Close
10/11/12, 1432.82, 1443.90, 1432.82, 1432.84
10/10/12, 1441.48, 1442.52, 1430.64, 1432.56
10/09/12, 1455.90, 1455.90, 1441.18, 1441.48
10/08/12, 1460.93, 1460.93, 1453.10, 1455.88
10/05/12, 1461.40, 1470.96, 1456.89, 1460.93
10/04/12, 1451.08, 1463.14, 1451.08, 1461.40
10/03/12, 1446.05, 1454.30, 1441.99, 1450.99
10/02/12, 1444.99, 1451.52, 1439.01, 1445.75
10/01/12, 1440.90, 1457.14, 1440.90, 1444.49
09/28/12, 1447.13, 1447.13, 1435.60, 1440.67
09/27/12, 1433.36, 1450.20, 1433.36, 1447.15
09/26/12, 1441.60, 1441.60, 1430.53, 1433.32
09/25/12, 1456.94, 1463.24, 1441.59, 1441.59
09/24/12, 1459.76, 1460.72, 1452.06, 1456.89
09/21/12, 1460.34, 1467.07, 1459.51, 1460.15
09/20/12, 1461.05, 1461.23, 1449.98, 1460.26
09/19/12, 1459.50, 1465.15, 1457.88, 1461.05
09/18/12, 1461.19, 1461.47, 1456.13, 1459.32
09/17/12, 1465.42, 1465.63, 1457.55, 1461.19
09/14/12, 1460.07, 1474.51, 1460.07, 1465.77
09/13/12, 1436.56, 1463.76, 1435.34, 1459.99
09/12/12, 1433.56, 1439.15, 1432.99, 1436.56
09/11/12, 1429.13, 1437.76, 1429.13, 1433.56
09/10/12, 1437.92, 1438.74, 1428.98, 1429.08
09/07/12, 1432.12, 1437.92, 1431.45, 1437.92
09/06/12, 1403.74, 1432.12, 1403.74, 1432.12
09/05/12, 1404.94, 1408.81, 1401.25, 1403.44
09/04/12, 1406.54, 1409.31, 1396.56, 1404.94
08/31/12, 1400.07, 1413.09, 1398.96, 1406.58
08/30/12, 1410.08, 1410.08, 1397.01, 1399.48
08/29/12, 1409.32, 1413.95, 1406.57, 1410.49
08/28/12, 1410.44, 1413.63, 1405.59, 1409.30
08/27/12, 1411.13, 1416.17, 1409.11, 1410.44
08/24/12, 1401.99, 1413.46, 1398.04, 1411.13
08/23/12, 1413.49, 1413.49, 1400.50, 1402.08
08/22/12, 1413.09, 1416.12, 1406.78, 1413.49
08/21/12, 1418.13, 1426.68, 1410.86, 1413.17
08/20/12, 1417.85, 1418.13, 1412.12, 1418.13
08/17/12, 1415.84, 1418.71, 1414.67, 1418.16
08/16/12, 1405.57, 1417.44, 1404.15, 1415.51
08/15/12, 1403.89, 1407.73, 1401.83, 1405.53
08/14/12, 1404.36, 1410.03, 1400.60, 1403.93
08/13/12, 1405.87, 1405.87, 1397.32, 1404.11
